,Price (NPR),Year,Fuel,Kilometer Run,Color,Mileage (Km/L),Engine (CC),Transmission,Brand,Age
155,2050000,2015,Petrol,35000,black,14,1600,Manual 2WD,Volkswagen,10
156,1550000,2015,Petrol,35000,white,13,1400,Manual 2WD,Fiat,10
157,4575000,2019,Petrol,38000,white,14,1500,Manual 2WD,Hyundai,6
158,2250000,2016,Petrol,50000,orange,14,15000,Manual 2WD,Ford,9
159,2865000,2017,Petrol,35000,brown,14,1197,Manual 2WD,Hyundai,8
160,2900000,2017,Petrol,38000,white,14,1200,Manual 2WD,Hyundai,8
161,1250000,2012,Petrol,38000,gold,14,1400,Manual 2WD,Chevrolet,13
162,2300000,2018,Petrol,27000,brown,14,1200,Manual 2WD,Hyundai,7
163,3150000,2010,Petrol,75000,grey,14,2000,Manual 2WD,Volkswagen,15
164,3975000,2021,Petrol,30000,red,14,1300,Manual 2WD,Maruti Suzuki,4
165,1265000,2009,Petrol,61000,blue,14,1197,Manual 2WD,Hyundai,16
166,395000,2003,Diesel,75000,green,14,1400,Manual 2WD,Tata,22
167,390000,2000,Petrol,90000,black,13,1400,Manual 2WD,Tata,25
168,1550000,2016,Diesel,45000,white,13,2523,Manual 4WD,Mahindra,9
169,2425000,2016,Petrol,38000,orange,13,1500,Manual 2WD,Ford,9
170,2275000,2015,Petrol,40000,silver,14,1200,Manual 2WD,Hyundai,10
171,1525000,2014,Petrol,38000,silver,14,1197,Manual 2WD,Nissan,11
172,1399000,2009,Petrol,52000,grey,14,1300,Manual 2WD,Maruti Suzuki,16
173,875000,2007,Petrol,61000,silver,14,1000,Manual 2WD,Daihatsu,18
174,2150000,2007,Diesel,78000,red,13,2000,Manual 4WD,Hyundai,18
175,540000,2014,Petrol,610000,white,14,800,Manual 2WD,Maruti Suzuki,11
176,1400000,2007,Petrol,100000,silver,14,1400,Auto 2WD,Toyota,18
177,2190000,2017,Petrol,38000,brown,14,1197,Manual 2WD,Maruti Suzuki,8
178,1375000,2014,Petrol,28000,silver,16,1000,Manual 2WD,Maruti Suzuki,11
179,2125000,2014,Petrol,48000,others,14,1197,Manual 2WD,Hyundai,11
180,1150000,2014,Diesel,70,white,16,1400,Manual 2WD,Ford,11
181,9700000,2015,Diesel,49000,white,14,3000,Manual 4WD,Toyota,10
182,1350000,2012,Petrol,59000,blue,14,1200,Manual 2WD,Honda,13
183,1625000,2010,Petrol,61000,others,14,1500,Manual 2WD,Mazda,15
184,1950000,2007,Petrol,49000,silver,14,1200,Manual 4WD,Maruti Suzuki,18
185,1725000,2013,Petrol,62000,others,14,1200,Manual 2WD,Volkswagen,12
186,1375000,2016,Electric,49000,others,14,1200,Auto 2WD,Mahindra,9
187,1675000,2012,Petrol,52000,silver,14,1200,Manual 2WD,Maruti Suzuki,13
188,1999999,2017,Petrol,50000,white,17,1200,Manual 2WD,Tata,8
189,750000,2008,Petrol,49000,grey,14,800,Manual 2WD,Maruti Suzuki,17
190,795000,2010,Diesel,64000,silver,18,1405,Manual 2WD,Tata,15
191,3650000,2021,Petrol,21000,white,14,1200,Manual 2WD,Hyundai,4
192,4275000,2020,Petrol,28500,grey,16,1500,Manual 2WD,Kia,5
193,2450000,2021,Petrol,5600,silver,15,1000,Manual 2WD,Nissan,4
