Name,Price,Transmission,Types,Fuel,Make Year,Mileage,Lot No,Colour,Kilometer Run,Engine (CC)
Plusar 150 Fully Fresh Lot-010 Super Fresh,"रू. 1,00,000",Manual,Sport,Petrol,2017,,,,27000,150
Honda Dio 60 lot,"रू. 98,000",Manual,Scooty,Petrol,2014,,60,,,
Fz v3 fi,"रू. 2,10,000",Automatic,Standard,Petrol,2020,45,Ba 121,Blue,22000,155
TVs Raider 43 0406,"रू. 2,20,000",Automatic,Others,Petrol,2079,55,43,Red,17770,125
Yahama RayZR Fi 125,"रू. 1,80,000",Automatic,Scooty,Petrol,2021,50,030,Blue,33000,125
Honda unicorn 160,"रू. 1,10,000",Manual,Standard,Petrol,2017,40,89,Blue,,160
Suzuki Burgman 125cc 109 lot fully fres 9803656430,"रू. 1,25,000",Automatic,Scooty,Petrol,2019,35,109,Black,,125
Pulsar 150 65 Lot Super Fresh Condition Onsell,"रू. 80,000",Manual,Sport,Petrol,2014,,,,,
Ns200 urgent on sell,"रू. 1,20,000",Manual,Sport,Petrol,2016,35,73,,,200
Aviator scooter for sale,"रू. 88,000",Automatic,Scooty,Petrol,2016,,75,red,,110
honda unicorn 39lot,"रू. 55,000",Automatic,Standard,Petrol,2010,,,,,
Yamaha saluto (102 lot),"रू. 94,000",Manual,Standard,Diesel,2018,,102,,,
dio fi 046lot,"रू. 2,50,000",Automatic,Standard,Petrol,2024,,,,,
xpulse 026lot,"रू. 2,30,000",Automatic,Standard,Petrol,2021,,,,,
ns200cc - 059 lot fi abs 2025 model BS6,"रू. 3,90,000",Manual,Sport,Petrol,2025,,,,,200
dominor 409 025 lot,"रू. 2,95,000",Manual,Sport,Petrol,2021,,,,,
Crossfire tracker 250 (032)lot super fresh bike,"रू. 1,60,000",Manual,Dirt,Petrol,2021,32,032,Black and Red,23000,250
pleasure 009 lot,"रू. 85,000",Manual,Scooty,Petrol,2019,,,,,
rtr180 002 lot,"रू. 1,20,000",Manual,Standard,Petrol,2018,,,,,
Duke 200cc sell an exchange 71lot,"रू. 2,19,000",Manual,Sport,Petrol,2015,32,71,White,38564,200
Fzs V2,"रू. 2,40,000",Manual,Standard,Petrol,2022,45,036,Navy blue,,149
Xr 190 Fi (006)lot sasto ma ayo hai,"रू. 4,55,000",Manual,Dirt,Petrol,2018,40,006,White,,190
ntorq 036lot,"रू. 1,60,000",Automatic,Standard,Petrol,2021,,,,,
honda unicorn 39lot,"रू. 55,000",Automatic,Standard,Petrol,2010,,,,,
FZ v2 on sell,"रू. 2,15,000",Manual,Standard,Petrol,2021,48,,red,37000,149
ismart - 009 lot,"रू. 80,000",Manual,Others,Petrol,2019,,,,,
Discover 64 Lot Super Fresh Condition Onsell,"रू. 67,000",Manual,Sport,Petrol,2014,,,,,
Pulsar 150 (004)lot,"रू. 1,45,000",Manual,Sport,Petrol,2018,40,004,Black and Red,,150
Apache bike on Sale -(42 LOT),"रू. 55,000",Manual,Others,Petrol,0,,,,,
Fresh Low Run Yamaha Mt 15,"रू. 4,10,000",Manual,Sport,Petrol,2023,,,Black,13000,150
XR 190 on sale...,"रू. 5,99,999",Manual,Dirt,Petrol,2022,38,136,red and black,15000,190
Urgent Sell,रू. 640,Manual,Standard,Petrol,2022,35,1350,Blue,15000,350
Urgent sale 🔥,"रू. 1,68,000",Manual,Sport,Petrol,2021,50 55,132,Black,26k,125
xpulse 026lot,"रू. 2,30,000",Automatic,Standard,Petrol,2021,,,,,
pulsar 220 055lot,"रू. 3,75,000",Automatic,Standard,Petrol,2025,,,,,
ns200 059 lot,"रू. 4,00,000",Manual,Sport,Petrol,2025,,,,,
pleasure 44lot,"रू. 50,000",Automatic,Standard,Petrol,2011,,,,,
"Pulsar 220, Blue Color, 95 Lot","रू. 1,60,000",Manual,Standard,Petrol,2017,35,96,Blue,29000,220
