Name,Price,Transmission,Types,Fuel,Make Year,Mileage,Lot No,Colour,Kilometer Run,Engine (CC)
Ntorq Race 041 Lot,"रू. 1,80,000",Manual,Scooty,Petrol,2022,,,,,
Beneli Motorcycle,"रू. 2,50,000",Automatic,Standard,Petrol,2019,25,111,White and black,21000,250
Yamaha fzs v2. 0 on sale,"रू. 1,95,000",Manual,Standard,Petrol,2019,45,109,Navy blue,52000,150
Single Hand Used Honda Shine On Urgent Sale,"रू. 82,000",Automatic,Standard,Petrol,2013,55,61,Black,22000,125
Yahama Facino 101 Lot Sale Or Exchange,"रू. 99,000",Manual,Scooty,Petrol,2017,45,101,Blue,22000,110
pulsar 150 010lot,"रू. 1,10,000",Automatic,Standard,Petrol,2016,,,,,
TVs Ntroq 107 lot sale,"रू. 1,27,000",Automatic,Scooty,Petrol,2019,30,107,yellow,25000,125
Bajaj Ns 160cc like new 90 lot 9803656430,"रू. 1,10,000",Automatic,Sport,Petrol,2017,45+,,,,160
HONDA Aviator 110,"रू. 1,10,000",Manual,Scooty,Petrol,2017,,92,,,110
April sr 125cc  131lot super fresh condition on se,"रू. 1,57,000",Manual,Scooty,Petrol,2021,,,,,
X pulse,"रू. 2,30,000",Automatic,Dirt,Petrol,2021,,,,,
suzuki burgeman 007lot,"रू. 1,30,000",Automatic,Standard,Petrol,2019,,,,,
single hand V3,रू. 210,Manual,Sport,Petrol,2018,50,103,blue,12000,155
honda aviator 007lot,"रू. 1,35,000",Manual,Scooty,Petrol,2019,,,,,
Ntroq 125 2021 model sale !!!,"रू. 1,65,000",Manual,Scooty,Petrol,2021,30 35,123,Grey,,125
fascino 95lot,"रू. 75,000",Automatic,Standard,Petrol,2018,,,,,
honda cb 350cc,"रू. 7,20,000",Automatic,Standard,Petrol,2021,30,026,black,10400,350
Very good condition Honda grazia fi,"रू. 2,00,000",Automatic,Scooty,Petrol,2021,50,128,Red,,125
fmf exhaust with bend pipe,"रू. 75,000",Manual,Standard,Petrol,2020,,,,,
vespa 88lot,"रू. 1,05,000",Manual,Scooty,Petrol,2017,,,,,
Aprilla Sr 125cc 119 Lot Super Fresh Condition Ons,"रू. 1,37,000",Manual,Scooty,Petrol,2020,,,,,
pleasure 007lot,"रू. 75,000",Automatic,Standard,Petrol,2019,,,,,
Yamaha R15v3 123 Lot Super Fresh Condition Onsell,"रू. 2,78,000",Manual,Sport,Petrol,2020,,,,,
Tvs NTORQ 125 XP,"रू. 2,30,000",Manual,Scooty,Petrol,2022,45,040,Red and black,33000,125
Hero pleasure 107 lot,"रू. 1,00,000",Manual,Scooty,Petrol,2019,,107,,,
Hero Glamour Like New 97 Lot,"रू. 95,000",Manual,Standard,Petrol,2018,55,97,,,125
X pulse 2v like brand new,"रू. 2,10,000",Manual,Dirt,Petrol,2001,35,16,White,28000,200
"Honda Dio 89 LOT SUPER FRESH , 9813296721","रू. 1,25,000",Automatic,Scooty,Petrol,2017,,,,,110
HONDA Grazzia 125cc 108 Lot Fresh Scooty for Sale,"रू. 1,39,000",Automatic,Scooty,Petrol,2019,40,108,Orange,19000,125
yamaha r1V3,रू. 333,Manual,Sport,Petrol,2021,45,033,blue,30,155
Ns200 2024 model,"रू. 4,00,000",Manual,Sport,Petrol,2024,,155,Black,7000,200
pulsar 220 80 lot sale,"रू. 1,27,000",Automatic,Standard,Petrol,2016,35,80,Blue and black,35000,220
Pulsar 150 Cc 77 Lot,"रू. 1,08,000",Manual,Standard,Petrol,2016,,,,,
CX Se 250 on fresh condition,"रू. 2,55,000",Manual,Standard,Petrol,0,,,,,
fascino 2017 model on sale fresh,"रू. 90,000",Manual,Standard,Petrol,2017,40,94,,,113
Hj250,"रू. 4,20,000",Manual,Dirt,Petrol,2023,,,,,
Only service in showroom full fresh tvs raider fi,"रू. 2,15,000",Manual,Standard,Petrol,2024,,,Red,16000,125
hero pleasure scooter,"रू. 80,000",Automatic,Scooty,Petrol,2016,35,104,red,27777,102
Tvs ntroq lot 123 super fresh condition,"रू. 1,55,000",Automatic,Scooty,Petrol,2021,40,,,22000,125
Yamaha Ray Zr 125,"रू. 1,78,000",Automatic,Scooty,Petrol,2021,50kms+,028,Blue,22000,125
Royal Engiled Thunderbird X 114 Lot 2020 Model Sal,"रू. 3,89,000",Manual,Cruiser,Petrol,2020,30,114,White,22000,350
Ns200 urgent on sell,"रू. 1,20,000",Manual,Sport,Petrol,2016,35,73,,,200
Fashion,"रू. 80,000",Automatic,Scooty,Petrol,2016,35,80,Red,39677,115
220 bike on sell,"रू. 2,35,000",Manual,Standard,Petrol,2021,35,31,red and black,45500,220
Yamaha FZ-S V2 (102 lot),"रू. 1,66,000",Manual,Standard,Petrol,2018,,102,,,
Hero Masterio 125cc 98 Lot Sale Or Exchange,"रू. 89,000",Manual,Scooty,Petrol,2018,45,98,Blue,33000,125
honda unicorn 39lot,"रू. 55,000",Automatic,Standard,Petrol,2010,,,,,
