Name,Price,Transmission,Types,Fuel,Make Year,Mileage,URL
Tvs Ntorque Race XP 142 Lot Sale Or Ex,"रू. 2,39,000",Manual,Scooty,Petrol,2022,50,https://hamrobazaar.com/product/tvs-ntorque-race-xp-142-lot-sale-or-ex-in-kathmandu/5e12da5c6ae8de92dda7c479999de592
Honda xr 190 Fi  139 lot  super fresh condition,"रू. 6,10,000",Manual,Dirt,Petrol,2022,,https://hamrobazaar.com/product/honda-xr-190-fi-139-lot-super-fresh-condition-in-nepal/e11991d785ce47edfc4a69aaa67238b7
Yamaha R15 V2,"रू. 1,25,000",Manual,Sport,Petrol,2011,25,https://hamrobazaar.com/product/yamaha-r15-v2-in-kathmandu/9f89599f7825ffc5e0f8cf402018aea7
TVs Apache 200cc 129 Lot 2021 Model 9823657076,"रू. 1,88,000",Manual,Standard,Petrol,2021,,https://hamrobazaar.com/product/tvs-apache-200cc-129-lot-2021-model-9823657076-in-bhaktapur/3a0ece009a8dab74f9a8b183901a1ba0
Pulsar 220F Black and Red,"रू. 2,04,999",Manual,Standard,Petrol,2018,35,https://hamrobazaar.com/product/pulsar-220f-black-and-red-in-kathmandu/ddb3ff6f47cb8a5cff1e86d29aa484d1
New Scooter Sell,"रू. 2,45,000",Automatic,Scooty,Petrol,2025,58,https://hamrobazaar.com/product/new-scooter-sell-in-kathmandu/0f0125e4d21b9e0d86c5def03d89ecae
Royal Enfield Classic 350 for Sale!!!(Royal Enfield),"रू. 3,50,000",Manual,Standard,Petrol,2014,,https://hamrobazaar.com/product/royal-enfield-classic-350-for-sale-in-kathmandu/598617824f7d4f4aae0ddcf891687fed
fascino 95lot,"रू. 75,000",Automatic,Standard,Petrol,2018,,https://hamrobazaar.com/product/fascino-95lot-in-bhaktapur/06bc2f676dbe5d1051fb4da312b4c1bd
Yamaha R15 V3 2018 Model 9823657076,"रू. 2,37,000",Manual,Standard,Petrol,2018,,https://hamrobazaar.com/product/yamaha-r15-v3-2018-model-9823657076-in-bhaktapur/a0638f3e8057db0c9d1a4ba1e699b528
Avenger 220 cruise,"रू. 99,000",Manual,Cruiser,Petrol,2014,35,https://hamrobazaar.com/product/avenger-220-cruise-in-lalitpur/04d7d2e135c7fcabc5e00a64718fcd4e
Honda Aviator 81 Lot 2016 Model 9823657076,"रू. 1,08,000",Manual,Standard,Petrol,2016,,https://hamrobazaar.com/product/honda-aviator-81-lot-2016-model-9823657076-in-bhaktapur/82681af77a519147623b32e10d9ee46e
Hero Glummer 125cc(Hero),"रू. 1,45,000",Manual,Standard,Petrol,2018,50,https://hamrobazaar.com/product/hero-glummer-125cc-in-kathmandu/4a9474726c7a2f3e576f33d930b09357
Jawa Forty Two 118 Lot 9823657076,"रू. 2,98,000",Manual,Standard,Petrol,2020,,https://hamrobazaar.com/product/jawa-forty-two-118-lot-9823657076-in-bhaktapur/014a35ebbf0eec849c474299b54ba83f
dio 130 lot urgent sell,"रू. 1,75,000",Automatic,Scooty,Petrol,2021,,https://hamrobazaar.com/product/dio-130-lot-urgent-sell-in-nepal/2285cd2882cf51dbe72f2cb3f768257c
Discover 84 lot,"रू. 70,000",Automatic,Others,Petrol,2015,,https://hamrobazaar.com/product/discover-84-lot-in-bhaktapur/1ae61d5c71084e97ac484dca8a18ea58
R15M V4,"रू. 4,60,000",Manual,Sport,Petrol,2023,45,https://hamrobazaar.com/product/r15m-v4-in-makwanpur/7578056bce328cf125d899048660f477
Honda Dio Old Model 2014  51 Lot 9823657076,"रू. 57,000",Manual,Standard,Petrol,2014,,https://hamrobazaar.com/product/honda-dio-old-model-2014-51-lot-9823657076-in-bhaktapur/28398b6e27e9ab2c850b07ae4f935ace
Beneli 150 Efi 142 Lot 2019 Model 9823657076,"रू. 1,43,000",Manual,Standard,Petrol,2019,,https://hamrobazaar.com/product/beneli-150-efi-142-lot-2019-model-9823657076-in-bhaktapur/6be8609f70d26b9765b718b354d344e8
"New Generation E-Bike for Touring, Hiking, Commute","रू. 74,999",Automatic,Others,Electric,2021,,https://hamrobazaar.com/product/new-generation-ebike-for-touring-hiking-commute-in-kathmandu/a74b961dd3553c7272c432d1650285b8
Crf250l(Honda),"रू. 14,50,000",Manual,Dirt,Petrol,2019,,https://hamrobazaar.com/product/crf250l-in-kathmandu/d83ac00a28794ad689eddf1c986f9470
"Benelli 300 On Sale 
Cn 9808069712","रू. 3,60,000",Manual,Sport,Petrol,2017,30,https://hamrobazaar.com/product/benelli-300-on-sale-cn-9808069712-in-lalitpur/8358ad6f67ac9de5b68e6c7284c0a72c
Atorq scooter sale(TVS),"रू. 1,65,000",Automatic,Scooty,Petrol,2020,,https://hamrobazaar.com/product/atorq-scooter-sale-in-kathmandu/f710110c84f9b1685b55fa2890bcdfc8
black classic 350 on sale or exchange,रू. 100,Manual,Standard,Petrol,2018,,https://hamrobazaar.com/product/black-classic-350-on-sale-or-exchange-in-bhaktapur/023e722860ec1595170603cf81aa5183
crossfire Hj250 dark edition on sale,"रू. 3,96,000",Manual,Dirt,Petrol,2021,25,https://hamrobazaar.com/product/crossfire-hj250-dark-edition-on-sale-in-kathmandu/ad5e90d3c3cb8f5b6cd6467322795458
