iter	Passed	Remaining
663	48789	61428
664	48856	61345
665	48920	61260
666	48982	61172
667	49043	61084
668	49106	60997
669	49178	60922
670	49244	60839
671	49300	60745
672	49382	60681
673	49451	60604
674	49524	60530
675	49603	60464
676	49753	60482
677	49903	60502
678	49987	60441
679	50059	60365
680	50126	60283
681	50200	60210
682	50282	60147
683	50358	60077
684	50461	60038
685	50570	60006
686	50693	59991
687	50817	59976
688	50966	59991
689	51135	60028
690	51277	60033
691	51398	60014
692	51495	59966
693	51572	59895
694	51638	59811
695	51697	59719
696	51758	59629
697	51813	59533
698	51875	59445
699	51941	59361
700	52002	59271
701	52061	59181
702	52126	59096
703	52196	59017
704	52277	58951
705	52334	58857
706	52389	58762
707	52447	58670
708	52503	58575
709	52557	58479
710	52622	58395
711	52702	58327
712	52765	58242
713	52822	58148
714	52880	58057
715	52932	57960
716	52991	57869
717	53046	57775
718	53102	57682
719	53159	57589
720	53227	57508
721	53295	57429
722	53361	57347
723	53427	57264
724	53497	57186
725	53564	57105
726	53621	57013
727	53677	56921
728	53748	56845
729	53819	56768
730	53879	56680
731	53947	56600
732	54014	56520
733	54073	56431
734	54127	56336
735	54189	56250
736	54259	56173
737	54327	56093
738	54386	56006
739	54461	55933
740	54530	55855
741	54617	55794
742	54693	55723
743	54771	55655
744	54846	55582
745	54919	55507
746	54989	55431
747	55055	55349
748	55119	55266
749	55173	55173
750	55236	55089
751	55298	55004
752	55371	54930
753	55443	54854
754	55511	54776
755	55582	54700
756	55636	54607
757	55691	54516
758	55747	54425
759	55802	54334
760	55861	54246
761	55917	54156
762	55974	54067
763	56031	53977
764	56092	53892
765	56153	53807
766	56212	53721
767	56268	53630
768	56321	53538
769	56391	53462
770	56464	53389
771	56521	53299
772	56591	53223
773	56663	53149
774	56734	53073
775	56798	52992
776	56855	52904
777	56914	52817
778	56986	52743
779	57046	52658
780	57112	52578
781	57180	52500
782	57249	52424
783	57305	52335
784	57368	52252
785	57426	52166
786	57496	52090
787	57553	52002
788	57617	51921
789	57688	51846
790	57751	51764
791	57814	51682
792	57871	51595
793	57938	51517
