,Price,Transmission,Types,Fuel,Make Year,Lot No,Kilometer Run,Mileage (Km/L),Engine (CC),Color,Brand
105,137000,Manual,Scooty,Petrol,2020,86,23000,40,150,Other,Other
106,75000,Automatic,Standard,Petrol,2019,86,23000,40,150,Other,Other
107,278000,Manual,Sport,Petrol,2020,86,23000,40,150,Other,Yamaha
108,230000,Manual,Scooty,Petrol,2022,40,33000,45,125,Red,TVS
109,100000,Manual,Scooty,Petrol,2019,107,23000,40,150,Other,Hero
110,95000,Manual,Standard,Petrol,2018,97,23000,55,125,Other,Hero
111,210000,Manual,Dirt,Petrol,2001,16,28000,35,200,White,Other
112,125000,Automatic,Scooty,Petrol,2017,86,23000,40,110,Other,Honda
113,139000,Automatic,Scooty,Petrol,2019,108,19000,40,125,Orange,Honda
114,333,Manual,Sport,Petrol,2021,33,30,45,155,Blue,Yamaha
115,400000,Manual,Sport,Petrol,2024,155,7000,40,200,Black,Other
116,127000,Automatic,Standard,Petrol,2016,80,35000,35,220,Other,Other
117,108000,Manual,Standard,Petrol,2016,86,23000,40,150,Other,Other
118,255000,Manual,Standard,Petrol,2019,86,23000,40,150,Other,Other
119,90000,Manual,Standard,Petrol,2017,94,23000,40,113,Other,Other
120,420000,Manual,Dirt,Petrol,2023,86,23000,40,150,Other,Other
121,215000,Manual,Standard,Petrol,2024,86,16000,40,125,Red,TVS
122,80000,Automatic,Scooty,Petrol,2016,104,27777,35,102,Red,Hero
123,155000,Automatic,Scooty,Petrol,2021,86,22000,40,125,Other,TVS
124,178000,Automatic,Scooty,Petrol,2021,28,22000,50,125,Blue,Yamaha
125,389000,Manual,Cruiser,Petrol,2020,114,22000,30,350,White,Other
126,120000,Manual,Sport,Petrol,2016,73,23000,35,200,Other,Other
127,80000,Automatic,Scooty,Petrol,2016,80,39677,35,115,Red,Other
128,235000,Manual,Standard,Petrol,2021,31,45500,35,220,Red,Other
129,166000,Manual,Standard,Petrol,2018,102,23000,40,150,Other,Yamaha
130,89000,Manual,Scooty,Petrol,2018,98,33000,45,125,Blue,Hero
131,55000,Automatic,Standard,Petrol,2010,86,23000,40,150,Other,Honda
132,310000,Manual,Sport,Petrol,2021,86,23000,40,150,Other,Other
133,145000,Automatic,Scooty,Petrol,2019,129,23000,30,110,Other,Other
134,240000,Manual,Standard,Petrol,2021,132,36800,35,250,Blue,Yamaha
135,88000,Automatic,Standard,Petrol,2018,98,28000,49,125,Red,TVS
136,140000,Automatic,Standard,Petrol,2018,14,40000,40,160,Red,Other
137,280000,Automatic,Scooty,Electric,2023,86,4000,40,150,White,Other
138,109000,Manual,Standard,Petrol,2018,96,45,45,135,Red,Benelli
139,110000,Manual,Standard,Petrol,2017,86,23000,40,150,Other,Other
140,115000,Manual,Scooty,Petrol,2019,106,23000,35,125,Other,Other
141,58000,Manual,Standard,Petrol,2012,86,23000,40,150,Other,Honda
142,73500,Automatic,Scooty,Petrol,2012,52,30000,40,110,Grey,Honda
143,205000,Manual,Standard,Petrol,2022,14,10000,45,160,Red,TVS
